"ID",NAME,TRADEDATE,OPEN,HIGH,LOW,CLOSE,VALUE,DURATION,YIELD
RTSI,Индекс РТС,2006-04-03,1434.73,1451.02,1434.65,1450.88,76314051,,
RTSI,Индекс РТС,2006-04-04,1451.29,1460.69,1450.87,1455.67,124605951,,
RTSI,Индекс РТС,2006-04-05,1459.01,1485.46,1459.01,1485.22,103923122,,
RTSI,Индекс РТС,2006-04-06,1485.67,1506.24,1485.67,1493.84,94166843,,
RTSI,Индекс РТС,2006-04-07,1493.52,1525.85,1491.15,1523.15,138338930,,
RTSI,Индекс РТС,2006-04-10,1523.94,1556.92,1519.28,1555.06,224488772,,
RTSI,Индекс РТС,2006-04-11,1556.56,1582.5,1553.49,1553.67,141674861,,
RTSI,Индекс РТС,2006-04-12,1552.61,1561.57,1535.47,1561.57,67894939,,
RTSI,Индекс РТС,2006-04-13,1562.1,1569.76,1544.75,1545.54,107945357,,
RTSI,Индекс РТС,2006-04-14,1547.12,1559.03,1546.06,1559.03,13382144,,
RTSI,Индекс РТС,2006-04-17,1559.03,1582.73,1559.03,1582.73,68199532,,
RTSI,Индекс РТС,2006-04-18,1583.72,1601.8,1583.72,1600.01,159123867,,
RTSI,Индекс РТС,2006-04-19,1600.97,1622.18,1600.97,1615.04,103867730,,
RTSI,Индекс РТС,2006-04-20,1615.12,1626.44,1613.99,1618.64,119588310,,
RTSI,Индекс РТС,2006-04-21,1616.24,1617.52,1603.81,1617.52,61083733,,
RTSI,Индекс РТС,2006-04-24,1618.63,1633.1,1618.63,1625.21,62300065,,
RTSI,Индекс РТС,2006-04-25,1623.13,1633.18,1621.47,1627.51,38958930,,
RTSI,Индекс РТС,2006-04-26,1627.64,1669.24,1627.64,1669.24,117670476,,
RTSI,Индекс РТС,2006-04-27,1667.09,1690.31,1616.66,1626.08,160484208,,
RTSI,Индекс РТС,2006-04-28,1624.1,1657.28,1621.74,1657.28,57311897,,
RTSI,Индекс РТС,2006-05-02,1657.49,1716.78,1657.49,1716.6,43350847,,
RTSI,Индекс РТС,2006-05-03,1716.67,1737.87,1716.67,1724.03,60177394,,
RTSI,Индекс РТС,2006-05-04,1723.66,1739.66,1715.52,1739.66,75585778,,
RTSI,Индекс РТС,2006-05-05,1740.77,1758.19,1740.77,1749.52,71137263,,
RTSI,Индекс РТС,2006-05-06,1749.52,1765.35,1749.21,1765.35,11493784,,
RTSI,Индекс РТС,2006-05-10,1767.48,1795,1738.69,1739.92,123975764,,
RTSI,Индекс РТС,2006-05-11,1740.19,1761.35,1684.98,1723.97,122318444,,
RTSI,Индекс РТС,2006-05-12,1723.95,1723.95,1680.84,1681.07,115628359,,
RTSI,Индекс РТС,2006-05-15,1680.78,1681.46,1582.98,1589.46,109168763,,
RTSI,Индекс РТС,2006-05-16,1586.86,1592.66,1530.36,1585.35,123096203,,
RTSI,Индекс РТС,2006-05-17,1585.48,1614.07,1543.12,1543.26,60651290,,
RTSI,Индекс РТС,2006-05-18,1536.97,1536.97,1477.55,1490.64,75435424,,
RTSI,Индекс РТС,2006-05-19,1492.44,1510.56,1449.75,1449.75,40834175,,
RTSI,Индекс РТС,2006-05-22,1448.82,1449.22,1315.15,1318.5,156798178,,
RTSI,Индекс РТС,2006-05-23,1319.96,1408.27,1311.32,1407.49,155170740,,
RTSI,Индекс РТС,2006-05-24,1407.41,1407.41,1354.19,1368.5,63964765,,
RTSI,Индекс РТС,2006-05-25,1368.07,1425.81,1362.74,1424.97,54076173,,
RTSI,Индекс РТС,2006-05-26,1426.6,1496.44,1426.6,1495.11,66721927,,
RTSI,Индекс РТС,2006-05-29,1495.28,1524.58,1492.08,1492.08,76400420,,
RTSI,Индекс РТС,2006-05-30,1492.35,1498.47,1454.69,1476.99,77339484,,
RTSI,Индекс РТС,2006-05-31,1476.61,1476.61,1443.67,1461.22,77230981,,
RTSI,Индекс РТС,2006-06-01,1460.7,1463.29,1449.1,1459.99,37785519,,
RTSI,Индекс РТС,2006-06-02,1465.79,1536.97,1465.79,1535.38,67437116,,
RTSI,Индекс РТС,2006-06-05,1539.4,1560.19,1539.4,1542.95,35296771,,
RTSI,Индекс РТС,2006-06-06,1541.9,1541.9,1469.95,1469.95,81228148,,
RTSI,Индекс РТС,2006-06-07,1469.89,1475.85,1422.03,1431.4,45025471,,
RTSI,Индекс РТС,2006-06-08,1425.5,1425.5,1361.12,1361.12,36558011,,
RTSI,Индекс РТС,2006-06-09,1361.93,1384.89,1347.97,1362.51,28532973,,
RTSI,Индекс РТС,2006-06-13,1358.88,1358.88,1234.44,1234.82,70069399,,
RTSI,Индекс РТС,2006-06-14,1234.64,1274.39,1219.11,1274.39,32161233,,
RTSI,Индекс РТС,2006-06-15,1277.35,1344.27,1277.35,1344.27,62764195,,
RTSI,Индекс РТС,2006-06-16,1346.52,1389.65,1315.66,1329.87,53082153,,
RTSI,Индекс РТС,2006-06-19,1329.9,1352.1,1323.16,1347.47,21887039,,
RTSI,Индекс РТС,2006-06-20,1346.54,1361,1322.87,1361,28099327,,
RTSI,Индекс РТС,2006-06-21,1364.82,1376,1348.87,1361.58,111775906,,
RTSI,Индекс РТС,2006-06-22,1364.16,1391.15,1354.12,1354.12,34052198,,
RTSI,Индекс РТС,2006-06-23,1353.55,1355.53,1337.58,1344.9,38209015,,
RTSI,Индекс РТС,2006-06-26,1345.4,1348.62,1337.38,1348.62,10961050,,
RTSI,Индекс РТС,2006-06-27,1349.89,1399.19,1349.89,1396.94,66536785,,
RTSI,Индекс РТС,2006-06-28,1392.24,1414.01,1380.25,1414.01,35987001,,
RTSI,Индекс РТС,2006-06-29,1416.32,1449.39,1416.32,1447.92,37294942,,
RTSI,Индекс РТС,2006-06-30,1448.92,1503.06,1448.92,1494.63,47466461,,
RTSI,Индекс РТС,2006-07-03,1494.74,1515.88,1494.74,1512.04,26190049,,
RTSI,Индекс РТС,2006-07-04,1512.66,1539.52,1508.7,1539.52,18578500,,
RTSI,Индекс РТС,2006-07-05,1539.37,1539.37,1501.28,1501.28,17951195,,
RTSI,Индекс РТС,2006-07-06,1502.4,1535.86,1502.4,1535.86,22872670,,
RTSI,Индекс РТС,2006-07-07,1537.55,1557.05,1533.59,1549.66,21845242,,
